element,ppm_CI,ppm_BSE_pyrolite,unit_in_source
Li,1.5,1.6,ppm
Be,0.025,0.068,ppm
B,0.9,0.3,ppm
C,35000,120,ppm
N,3180,2,ppm
F,60,25,ppm
Na,5100,2670,ppm
Mg,96500,228000,%
Al,8600,23500,%
Si,106500,210000,%
P,1080,90,ppm
S,54000,250,ppm
Cl,680,17,ppm
K,550,240,ppm
Ca,9250,25300,%
Sc,5.92,16.2,ppm
Ti,440,1205,ppm
V,56,82,ppm
Cr,2650,2625,ppm
Mn,1920,1045,ppm
Fe,181000,62600,%
Co,500,105,ppm
Ni,10500,1960,ppm
Cu,120,30,ppm
Zn,310,55,ppm
Ga,9.2,4,ppm
Ge,31,1.1,ppm
As,1.85,0.05,ppm
Se,21,0.075,ppm
Br,3.57,0.05,ppm
Rb,2.3,0.6,ppm
Sr,7.25,19.9,ppm
Y,1.57,4.3,ppm
Zr,3.82,10.5,ppm
Nb,0.24,0.658,ppb
Mo,0.9,0.05,ppb
Ru,0.71,0.005,ppb
Rh,0.13,0.0009,ppb
Pd,0.55,0.0039,ppb
Ag,0.2,0.008,ppb
Cd,0.71,0.04,ppb
In,0.08,0.011,ppb
Sn,1.65,0.13,ppb
Sb,0.14,0.0055,ppb
Te,2.33,0.012,ppb
I,0.45,0.01,ppb
Cs,0.19,0.021,ppb
Ba,2.41,6.6,ppb
La,0.237,0.648,ppb
Ce,0.613,1.675,ppb
Pr,0.0928,0.254,ppb
Nd,0.457,1.25,ppb
Sm,0.148,0.406,ppb
Eu,0.0563,0.154,ppb
Gd,0.199,0.544,ppb
Tb,0.0361,0.099,ppb
Dy,0.246,0.674,ppb
Ho,0.0546,0.149,ppb
Er,0.16,0.438,ppb
Tm,0.0247,0.068,ppb
Yb,0.161,0.441,ppb
Lu,0.0246,0.0675,ppb
Hf,0.103,0.283,ppb
Ta,0.0136,0.037,ppb
W,0.093,0.029,ppb
Re,0.04,0.00028,ppb
Os,0.49,0.0034,ppb
Ir,0.455,0.0032,ppb
Pt,1.01,0.0071,ppb
Au,0.14,0.001,ppb
Hg,0.3,0.01,ppb
Tl,0.14,0.0035,ppb
Pb,2.47,0.15,ppb
Bi,0.11,0.0025,ppb
Th,0.029,0.0795,ppb
U,0.0074,0.0203,ppb
O,481895,440005,diff-by-100%
