# Continental crust element abundance (mass ppm), source: CRC Handbook of
# Chemistry and Physics, 97th edition (2016-2017), sec. 14, pg. 17,
# as transcribed by Wikipedia "Abundance of elements in Earth's crust"
# (revision 1368008262). Values are continental-crust average by mass.
Z,element,ppm,goldschmidt_class
8,O,461000,lithophile
14,Si,282000,lithophile
13,Al,82300,lithophile
26,Fe,56300,siderophile
20,Ca,41500,lithophile
11,Na,23600,lithophile
12,Mg,23300,lithophile
19,K,20900,lithophile
22,Ti,5650,lithophile
1,H,1400,atmophile
15,P,1050,lithophile
25,Mn,950,lithophile
9,F,585,lithophile
56,Ba,425,lithophile
38,Sr,370,lithophile
16,S,350,chalcophile
6,C,200,atmophile
40,Zr,165,lithophile
17,Cl,145,lithophile
23,V,120,lithophile
24,Cr,102,lithophile
37,Rb,90,lithophile
28,Ni,84,siderophile
30,Zn,70,chalcophile
58,Ce,66.5,lithophile
29,Cu,60,chalcophile
60,Nd,41.5,lithophile
57,La,39,lithophile
39,Y,33,lithophile
27,Co,25,siderophile
21,Sc,22,lithophile
3,Li,20,lithophile
41,Nb,20,lithophile
7,N,19,atmophile
31,Ga,19,chalcophile
82,Pb,14,chalcophile
5,B,10,lithophile
90,Th,9.6,lithophile
59,Pr,9.2,lithophile
62,Sm,7.05,lithophile
64,Gd,6.2,lithophile
66,Dy,5.2,lithophile
68,Er,3.5,lithophile
18,Ar,3.5,atmophile
70,Yb,3.2,lithophile
72,Hf,3.0,lithophile
55,Cs,3.0,lithophile
4,Be,2.8,lithophile
92,U,2.7,lithophile
35,Br,2.4,lithophile
50,Sn,2.3,chalcophile
73,Ta,2.0,lithophile
63,Eu,2.0,lithophile
33,As,1.8,chalcophile
32,Ge,1.5,chalcophile
67,Ho,1.3,lithophile
74,W,1.25,siderophile
42,Mo,1.2,siderophile
65,Tb,1.2,lithophile
81,Tl,0.85,chalcophile
71,Lu,0.8,lithophile
69,Tm,0.52,lithophile
53,I,0.45,lithophile
49,In,0.25,chalcophile
51,Sb,0.2,chalcophile
48,Cd,0.15,chalcophile
80,Hg,0.085,chalcophile
47,Ag,0.075,chalcophile
34,Se,0.05,chalcophile
46,Pd,0.015,siderophile
83,Bi,0.0085,chalcophile
2,He,0.008,atmophile
10,Ne,0.005,atmophile
78,Pt,0.005,siderophile
79,Au,0.004,siderophile
76,Os,0.0015,siderophile
52,Te,0.001,chalcophile
44,Ru,0.001,siderophile
77,Ir,0.001,siderophile
45,Rh,0.001,siderophile
75,Re,0.0007,siderophile
36,Kr,0.0001,atmophile
54,Xe,3e-05,atmophile
