subtype,lat,lon
Cu_porphyry,-27.3708,-66.2800
Cu_porphyry,-31.3000,-69.3667
Cu_porphyry,-30.5000,-69.7500
Cu_porphyry,-27.2667,-66.6500
Cu_porphyry,-27.3297,-66.6089
Cu_porphyry,-48.0750,-67.3083
Cu_porphyry,-27.4000,-66.5500
Cu_porphyry,-27.2833,-66.5667
Cu_porphyry,-26.3000,-67.9000
Cu_porphyry,-38.2500,-70.5833
Cu_porphyry,-30.0000,-69.1667
Cu_porphyry,-31.9500,-70.0500
Cu_porphyry,-24.1333,-66.6000
Cu_porphyry,-30.9333,-69.6333
Cu_porphyry,-27.3833,-66.2167
Cu_porphyry,-25.1444,-66.7625
Cu_porphyry,-39.1833,-70.6333
Cu_porphyry,-31.2417,-70.1767
Cu_porphyry,-29.0000,-67.7500
Cu_porphyry,-24.2000,-65.8667
Cu_porphyry,-32.4167,-69.0833
Cu_porphyry,-32.4833,-69.1000
Cu_porphyry,-37.4325,-70.4667
Cu_porphyry,-32.2500,-69.4333
Cu_porphyry,-24.5667,-67.7833
Cu_porphyry,-24.5833,-67.7333
Cu_porphyry,-32.1378,-69.4392
Cu_porphyry,38.9219,46.1883
Cu_porphyry,40.6333,44.5167
Cu_porphyry,39.3750,46.0228
Cu_porphyry,39.1439,46.1378
Cu_porphyry,39.1000,46.4667
Cu_porphyry,41.1047,44.8567
Cu_porphyry,-33.4667,149.0000
Cu_porphyry,-33.6167,148.8500
Cu_porphyry,-33.0500,148.8667
Cu_porphyry,-32.9167,148.0333
Cu_porphyry,-34.2739,148.8400
Cu_porphyry,-33.9667,147.4167
Cu_porphyry,-33.7167,147.5333
Cu_porphyry,-32.7500,148.2167
Cu_porphyry,-32.7667,148.6667
Cu_porphyry,-20.5700,148.2600
Cu_porphyry,-25.2350,151.6161
Cu_porphyry,-25.6833,151.9167
Cu_porphyry,-24.6683,150.8764
Cu_porphyry,-23.6900,150.6300
Cu_porphyry,-23.6000,150.4000
Cu_porphyry,-24.8167,151.3667
Cu_porphyry,-20.2000,147.9500
Cu_porphyry,-20.3419,140.1689
Cu_porphyry,-29.8394,152.3714
Cu_porphyry,-20.5786,146.9778
Cu_porphyry,-18.2536,143.4236
Cu_porphyry,-23.6111,150.4578
Cu_porphyry,-20.4247,146.7786
Cu_porphyry,-24.8075,150.8731
Cu_porphyry,-23.0028,150.6928
Cu_porphyry,-32.7656,140.2369
Cu_porphyry,-37.5736,148.0086
Cu_porphyry,-37.6114,142.6075
Cu_porphyry,-21.6575,119.9578
Cu_porphyry,-20.8889,120.1083
Cu_porphyry,-21.7917,119.8722
Cu_porphyry,40.0167,46.7500
Cu_porphyry,40.6333,45.8500
Cu_porphyry,40.5333,46.1500
Cu_porphyry,40.5644,45.7914
Cu_porphyry,39.0500,46.0500
Cu_porphyry,50.2833,5.9167
Cu_porphyry,-17.5333,-51.6000
Cu_porphyry,-14.2500,-49.3667
Cu_porphyry,-6.4000,-49.6167
Cu_porphyry,42.5833,23.9833
Cu_porphyry,41.9742,27.5344
Cu_porphyry,42.7500,24.0333
Cu_porphyry,42.7200,24.0853
Cu_porphyry,42.4833,23.4167
Cu_porphyry,42.3422,26.2958
Cu_porphyry,42.1167,25.2500
Cu_porphyry,42.3553,24.3392
Cu_porphyry,42.3481,24.2281
Cu_porphyry,50.6611,-120.5150
Cu_porphyry,50.6142,-120.5308
Cu_porphyry,49.6483,-120.5261
Cu_porphyry,55.0028,-126.2319
Cu_porphyry,53.8036,-127.4350
Cu_porphyry,50.4942,-120.9967
Cu_porphyry,54.8097,-126.8944
Cu_porphyry,49.8778,-120.0056
Cu_porphyry,56.6667,-131.0925
Cu_porphyry,49.2556,-125.9833
Cu_porphyry,55.2631,-124.5436
Cu_porphyry,53.5333,-127.2333
Cu_porphyry,57.1164,-131.3469
Cu_porphyry,49.3403,-120.5553
Cu_porphyry,55.2478,-126.1664
Cu_porphyry,58.4839,-129.1072
Cu_porphyry,51.4636,-123.6256
Cu_porphyry,50.6433,-120.4233
