family,lat,lon,country,commodity
Li,-33.8667,116.0625,Australia,Greenbushes [Beryllium; Lithium; Niobium and Tantalum; Tin|Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal]
Li,-33.5639,120.0397,Australia,Cattlin [Lithium|Pegmatite]
Li,-32.9833,-65.9833,Argentina,San Luis [Lithium|Pegmatite]
Li,-32.3861,-65.7069,Argentina,Las Cuevas [Lithium|Pegmatite]
Li,-32.3069,121.785,Australia,Deans [Lithium|Pegmatite]
Li,-31.5156,122.1794,Australia,Bald [Lithium|Pegmatite]
Li,-31.0972,121.0753,Australia,Tantalite [Lithium|Pegmatite]
Li,-31.0781,121.4667,Australia,Marion [Lithium|Pegmatite]
Li,-29.3072,117.6833,Australia,Edon [Lithium|Pegmatite]
Li,-28.7691,18.4957,Namibia,Homestead [Lithium|Pegmatite]
Li,-27.7072,117.2669,Australia,Niobe [Lithium|Pegmatite]
Li,-26.936,-69.0694,Chile,Salar de Maricunga [Lithium|Li Basin Brines]
Li,-25.3906,-67.1081,Argentina,Salar de Hombre Muerto [Lithium|Li Basin Brines]
Li,-24.7971,-68.3013,Argentina,Salar de Llullaillaco [Lithium|Li Basin Brines]
Li,-24.117,30.894,South Africa,Union [Lithium|Pegmatite]
Li,-24.1037,-67.1058,Argentina,Salar del Rincon [Lithium|Li Basin Brines]
Li,-23.4812,-68.3147,Chile,Salar de Atacama [Lithium|Li Basin Brines]
Li,-23.4712,-66.7418,Argentina,Salar de Cuachari and Salar de Olaroz [Lithium|Li Basin Brines]
Li,-22.1031,15.9939,Namibia,Rubicon [Lithium|Pegmatite]
Li,-21.6524,-67.7812,Bolivia,Salar de Pastos Grandes [Lithium|Li Basin Brines]
Li,-21.18,118.68,Australia,Wodgina [Beryllium; Lithium; Niobium and Tantalum|Pegmatite; Li-Cs-Ta type pegmatite]
Li,-21.0833,-44.5833,Brazil,Volta Grande [Niobium and Tantalum; Beryllium; Lithium|Li-Cs-Ta type pegmatite]
Li,-21.071,118.902,Australia,Pilgangoora [Beryllium; Lithium|Pegmatite]
Li,-20.6666,118.9231,Australia,Tabba [Lithium|Pegmatite]
Li,-20.2013,-67.41,Bolivia,Salar de Uyuni [Lithium|Li Basin Brines]
Li,-19.9609,31.428,Zimbabwe,Bikita [Lithium; Beryllium|Be Type Rare-Metal Pegmatite]
Li,-19.9167,46.5333,Madagascar,Betafo [Lithium|Pegmatite]
Li,-19.2217,-68.0901,Bolivia,Salar de Copaisa [Lithium|Li Basin Brines]
Li,-19.023,-41.46,Brazil,Urucum Pegmatite [Lithium|Pegmatite]
Li,-18.8374,-69.0053,Chile,Salar de Surire [Lithium|Li Basin Brines]
