element,C_CI_ppm,C_BSE_ppm,C_earth_ppm,C_core_pure_metal_ppm,C_core_pure_metal_pct,sigma_rel,C_core_plus_lo_ppm,C_core_plus_hi_ppm,lit_wt,lit_pct
Fe,181000.0,62600.0,334755.592408,900980.166595,90.098017,0.002440987997742963,898780.884822,903179.448368,0.855,85.5
Ni,10500.0,1960.0,19419.523316,55744.373627,5.574437,0.002440987997742963,55608.30228,55880.444974,0.052,5.2
Co,500.0,105.0,924.739206,2630.221274,0.263022,0.002440987997742963,2623.800935,2636.641612,0.0025,0.25
Cr,2650.0,2625.0,4901.117789,9636.621531,0.963662,0.002440987997742963,9613.098653,9660.144408,0.009,0.9
W,0.093,0.029,0.172001,0.469519,4.7e-05,0.002440987997742963,0.468373,0.470665,,
Mo,0.9,0.05,1.664531,5.02359,0.000502,0.002440987997742963,5.011328,5.035853,,
Re,0.04,0.00028,0.073979,0.227312,2.3e-05,0.002440987997742963,0.226757,0.227866,,
Os,0.49,0.0034,0.906244,2.784628,0.000278,0.002440987997742963,2.777831,2.791426,,
Ru,0.71,0.005,1.31313,4.034717,0.000403,0.002440987997742963,4.024868,4.044566,,
Rh,0.13,0.0009,0.240432,0.738783,7.4e-05,0.002440987997742963,0.73698,0.740587,,
Ir,0.455,0.0032,0.841513,2.585637,0.000259,0.002440987997742963,2.579326,2.591949,,
Pt,1.01,0.0071,1.867973,5.739553,0.000574,0.002440987997742963,5.725543,5.753563,,
Pd,0.55,0.0039,1.017213,3.125429,0.000313,0.002440987997742963,3.1178,3.133058,,
Au,0.14,0.001,0.258927,0.795549,8e-05,0.002440987997742963,0.793607,0.797491,,
