element,mass_crust_kg,mass_mantle_kg,mass_core_kg,share_crust_pct,share_mantle_pct,share_core_pct
Cs,7.8e+16,6703500000000016.0,0.0,92.09,7.91,0.0
Os,39000000000000.0,1.36749e+16,5.398559033698493e+18,0.0,0.25,99.75
Pr,2.392e+17,7.853090000000001e+17,0.0,23.35,76.65,0.0
Ce,1.7289999999999997e+18,5.027112500000001e+18,0.0,25.59,74.41,0.0
Ni,2.1839999999999997e+18,7.903476000000001e+21,1.08071617150682e+23,0.0,6.81,93.18
Ag,1950000000000000.0,3.0318000000000004e+16,0.0,6.04,93.96,0.0
Rb,2.34e+18,8.009999999999992e+16,0.0,96.69,3.31,0.0
Tl,2.21e+16,0.0,0.0,100.0,0.0,0.0
Co,6.5e+17,4.228675000000001e+20,5.09920998336581e+21,0.01,7.66,92.33
Xe,780000000000.0,0.0,0.0,100.0,0.0,0.0
Lu,2.08e+16,2.514612500000001e+17,0.0,7.64,92.36,0.0
Hg,2210000000000000.5,3.812499999999999e+16,0.0,5.48,94.52,0.0
Ar,9.099999999999998e+16,0.0,0.0,100.0,0.0,0.0
V,3.12e+18,3.2762699999999997e+20,0.0,0.94,99.06,0.0
Pb,3.6399999999999994e+17,2.41025e+17,0.0,60.16,39.84,0.0
Cu,1.56e+18,1.1944500000000002e+20,0.0,1.29,98.71,0.0
Br,6.24e+16,1.3927500000000003e+17,0.0,30.94,69.06,0.0
Ho,3.38e+16,5.671915e+17,0.0,5.62,94.38,0.0
Yb,8.32e+16,1.6955735e+18,0.0,4.68,95.32,0.0
P,3.096607862477103e+19,3.3204892137522895e+20,0.0,8.53,91.47,0.0
Al,2.6097885445272654e+21,9.217746145547274e+22,0.0,2.75,97.25,0.0
Bi,220999999999999.97,9862750000000000.0,0.0,2.19,97.81,0.0
Ne,130000000000000.0,0.0,0.0,100.0,0.0,0.0
Ir,25999999999999.996,1.2881200000000002e+16,5.012774809862886e+18,0.0,0.26,99.74
Pd,390000000000000.0,1.5340650000000002e+16,6.059269581702392e+18,0.01,0.25,99.74
Zn,1.82e+18,2.2002250000000002e+20,0.0,0.82,99.18,0.0
W,3.2499999999999996e+16,8.447150000000003e+16,9.102558119060406e+17,3.16,8.22,88.61
Ge,3.9e+16,4.3978500000000005e+18,0.0,0.88,99.12,0.0
Sm,1.833e+17,1.454301e+18,0.0,11.19,88.81,0.0
F,1.521e+19,8.56275e+19,0.0,15.08,84.92,0.0
Nd,1.0789999999999999e+18,3.9628750000000005e+18,0.0,21.4,78.6,0.0
H,3.64e+19,0.0,1.9387e+21,1.84,0.0,98.16
Be,7.28e+16,2.01478e+17,0.0,26.54,73.46,0.0
Nb,5.1999999999999994e+17,2.1340430000000003e+18,0.0,19.59,80.41,0.0
Si,8.748403961384818e+21,8.382865960386151e+23,1.16322e+23,0.91,87.02,12.07
Te,25999999999999.996,4.8376e+16,0.0,0.05,99.95,0.0
Fe,1.9907716075156574e+21,2.5050632839248434e+23,1.6303754699352036e+24,0.11,13.3,86.59
Na,7.337800580832528e+20,1.0035664941916749e+22,0.0,6.81,93.19,0.0
Mo,3.12e+16,1.7047500000000003e+17,9.739234470058457e+18,0.31,1.71,97.97
Kr,2599999999999.9995,0.0,0.0,100.0,0.0,0.0
Ga,4.94e+17,1.5640000000000002e+19,0.0,3.06,96.94,0.0
In,6500000000000000.0,3.786849999999999e+16,0.0,14.65,85.35,0.0
