element,ppm_crust_avg,ppm_mantle_bse,enrichment_factor,verdict
Rb,73.125,0.6,121.875,地壳富集型(浅层成矿潜力高)
Cs,2.4375,0.021,116.071,地壳富集型(浅层成矿潜力高)
U,2.19375,0.0203,108.067,地壳富集型(浅层成矿潜力高)
Th,7.8,0.0795,98.113,地壳富集型(浅层成矿潜力高)
Pb,11.375,0.15,75.833,地壳富集型(浅层成矿潜力高)
K,17183.588376,240.730786,71.381,地壳富集型(浅层成矿潜力高)
La,31.6875,0.6,52.812,地壳富集型(浅层成矿潜力高)
Ba,345.3125,6.8,50.781,地壳富集型(浅层成矿潜力高)
Ta,1.625,0.037,43.919,地壳富集型(浅层成矿潜力高)
Ce,54.03125,1.6,33.77,地壳富集型(浅层成矿潜力高)
Pr,7.475,0.23,32.5,地壳富集型(浅层成矿潜力高)
B,8.125,0.3,27.083,地壳富集型(浅层成矿潜力高)
Nd,33.71875,1.25,26.975,地壳富集型(浅层成矿潜力高)
Nb,16.25,0.7,23.214,地壳富集型(浅层成矿潜力高)
Mo,0.975,0.05,19.5,地壳富集型(浅层成矿潜力高)
Sm,5.728125,0.4,14.32,地壳富集型(浅层成矿潜力高)
Sr,300.625,21.0,14.315,地壳富集型(浅层成矿潜力高)
Zr,134.0625,10.5,12.768,地壳富集型(浅层成矿潜力高)
Eu,1.625,0.15,10.833,地壳富集型(浅层成矿潜力高)
Li,16.25,1.6,10.156,地壳富集型(浅层成矿潜力高)
P,967.689957,96.016345,10.078,地壳富集型(浅层成矿潜力高)
Tb,0.975,0.1,9.75,地壳富集型(浅层成矿潜力高)
Lu,0.65,0.067,9.701,地壳富集型(浅层成矿潜力高)
Gd,5.0375,0.54,9.329,地壳富集型(浅层成矿潜力高)
Hf,2.4375,0.28,8.705,地壳富集型(浅层成矿潜力高)
Na,22930.626815,2670.667957,8.586,地壳富集型(浅层成矿潜力高)
Ho,1.05625,0.15,7.042,地壳富集型(浅层成矿潜力高)
Er,2.84375,0.44,6.463,地壳富集型(浅层成矿潜力高)
Dy,4.225,0.67,6.306,地壳富集型(浅层成矿潜力高)
Y,26.8125,4.3,6.235,地壳富集型(浅层成矿潜力高)
Tm,0.4225,0.068,6.213,地壳富集型(浅层成矿潜力高)
Yb,2.6,0.44,5.909,地壳富集型(浅层成矿潜力高)
Ti,6163.817375,1204.615876,5.117,地壳富集型(浅层成矿潜力高)
Ga,15.4375,4.0,3.859,近中性分布
Al,81555.892016,23552.353864,3.463,近中性分布
Au,0.00325,0.001,3.25,近中性分布
Pd,0.012188,0.0039,3.125,近中性分布
Re,0.000569,0.00028,2.031,近中性分布
Ca,49262.553495,25370.345934,1.942,近中性分布
Cu,48.75,30.0,1.625,近中性分布
Si,273387.623793,210357.023968,1.3,近中性分布
V,97.5,82.0,1.189,近中性分布
S,284.375,250.0,1.137,近中性分布
Sc,17.875,16.0,1.117,近中性分布
O,456585.25532,439900.75517,1.038,近中性分布
Zn,56.875,55.0,1.034,近中性分布
Mn,1047.765365,1045.479278,1.002,近中性分布
Fe,62211.612735,62956.784969,0.988,近中性分布
Ge,1.21875,1.3,0.938,近中性分布
Pt,0.004063,0.0076,0.535,近中性分布
Os,0.001219,0.0034,0.358,近中性分布
Ir,0.000812,0.0032,0.254,近中性分布
Co,20.3125,105.0,0.193,地幔相容型(存量深藏)
Ru,0.000812,0.005,0.162,地幔相容型(存量深藏)
Mg,27525.449752,227972.456576,0.121,地幔相容型(存量深藏)
Ni,68.25,1964.553488,0.035,地幔相容型(存量深藏)
Cr,82.875,2668.215789,0.031,地幔相容型(存量深藏)
