family,cell_lat,cell_lon,score_pct,nearest_anchor_lat,nearest_anchor_lon,nearest_km
Au,38.0,-126.0,99.5,38.07,-122.72,287.0
Au,32.0,-120.0,99.3,34.13,-118.32,284.0
Au,36.0,-126.0,99.3,37.73,-122.51,365.0
Au,40.0,-128.0,99.3,40.38,-123.71,367.0
Au,42.0,-128.0,99.3,42.4,-124.41,299.0
Au,46.0,-126.0,99.3,45.59,-122.34,287.0
Au,34.0,-124.0,99.3,35.9,-121.41,317.0
Au,50.0,-112.0,99.2,48.2,-109.65,263.0
Au,44.0,-128.0,99.2,43.32,-124.6,284.0
Au,38.0,-128.0,99.2,40.38,-123.71,455.0
Au,32.0,-122.0,99.1,35.28,-120.78,382.0
Au,30.0,-118.0,99.1,31.97,-116.65,254.0
Au,46.0,-128.0,99.1,43.32,-124.6,401.0
Au,34.0,-126.0,99.0,35.9,-121.41,469.0
Au,50.0,-108.0,99.0,48.24,-109.51,224.0
Au,36.0,-128.0,98.9,38.07,-122.72,522.0
Au,42.0,-130.0,98.9,42.4,-124.41,463.0
Au,52.0,-114.0,98.9,50.95,-116.98,237.0
Au,40.0,-130.0,98.9,41.75,-124.18,526.0
Au,40.0,-102.0,98.8,39.37,-104.62,235.0
Au,38.0,-102.0,98.8,38.13,-104.79,245.0
Au,30.0,-120.0,98.8,31.97,-116.65,387.0
Au,32.0,-124.0,98.8,35.28,-120.78,471.0
Au,52.0,-112.0,98.7,50.95,-116.98,364.0
Au,44.0,-130.0,98.7,43.32,-124.6,441.0
Au,42.0,-102.0,98.7,42.36,-104.78,233.0
Au,48.0,-128.0,98.7,49.98,-126.72,239.0
Au,36.0,-102.0,98.6,36.48,-105.12,285.0
Au,38.0,-130.0,98.6,40.38,-123.71,603.0
Au,52.0,-110.0,98.5,48.24,-109.51,420.0
Au,50.0,-106.0,98.5,47.96,-108.57,294.0
Au,48.0,-104.0,98.5,47.94,-108.56,339.0
Au,46.0,-130.0,98.4,49.98,-126.72,505.0
Au,28.0,-116.0,98.4,28.06,-113.39,256.0
Au,30.0,-122.0,98.3,31.97,-116.65,555.0
Au,34.0,-102.0,98.3,34.7,-98.62,320.0
Au,46.0,-102.0,98.3,44.34,-103.66,226.0
Au,58.0,-146.0,98.2,60.01,-147.97,250.0
Au,40.0,-100.0,98.2,39.37,-104.62,401.0
Au,52.0,-108.0,98.2,48.24,-109.51,432.0
Au,34.0,-128.0,98.2,37.03,-122.11,630.0
Au,58.0,-144.0,98.2,60.17,-144.59,244.0
Au,52.0,-126.0,98.2,49.98,-126.72,230.0
Au,38.0,-100.0,98.2,34.7,-98.62,387.0
Au,42.0,-100.0,98.1,43.79,-103.56,352.0
Au,28.0,-118.0,98.1,28.06,-113.39,453.0
Au,32.0,-126.0,98.1,35.28,-120.78,605.0
Au,42.0,-132.0,98.1,42.4,-124.41,627.0
Au,48.0,-130.0,98.1,49.98,-126.72,325.0
Au,36.0,-130.0,98.0,38.07,-122.72,686.0
Au,54.0,-118.0,98.0,51.63,-120.07,298.0
Au,50.0,-104.0,98.0,47.96,-108.57,403.0
Au,54.0,-116.0,98.0,50.95,-116.98,346.0
Au,68.0,-140.0,98.0,67.95,-147.28,303.0
Au,40.0,-132.0,98.0,41.75,-124.18,685.0
Au,44.0,-132.0,97.9,43.32,-124.6,600.0
Au,66.0,-136.0,97.9,63.63,-135.51,265.0
Au,54.0,-114.0,97.9,50.95,-116.98,395.0
Au,48.0,-102.0,97.9,44.39,-103.87,426.0
Au,44.0,-100.0,97.8,44.08,-103.57,285.0
Au,52.0,-128.0,97.8,49.98,-126.72,242.0
Au,32.0,-102.0,97.8,31.17,-104.9,290.0
Au,52.0,-106.0,97.8,54.72,-101.83,410.0
Au,68.0,-138.0,97.8,65.28,-143.02,375.0
Au,70.0,-152.0,97.7,67.75,-149.47,270.0
Au,70.0,-150.0,97.7,67.95,-147.28,252.0
Au,54.0,-112.0,97.7,50.95,-116.98,478.0
Au,70.0,-154.0,97.7,67.51,-155.08,280.0
Au,70.0,-148.0,97.7,67.95,-147.28,230.0
Au,50.0,-130.0,97.7,49.98,-126.72,234.0
Au,54.0,-126.0,97.7,52.52,-122.28,297.0
Au,70.0,-156.0,97.7,67.51,-155.08,279.0
Au,30.0,-124.0,97.7,35.28,-120.78,660.0
Au,70.0,-146.0,97.6,67.95,-147.28,234.0
Au,28.0,-120.0,97.6,31.97,-116.65,547.0
Au,46.0,-132.0,97.6,49.98,-126.72,592.0
Au,26.0,-112.0,97.6,28.06,-113.39,267.0
Au,66.0,-134.0,97.6,63.63,-135.51,273.0
Au,70.0,-158.0,97.6,68.07,-162.83,288.0
Au,62.0,-132.0,97.5,63.63,-135.51,254.0
Au,56.0,-140.0,97.5,57.66,-136.17,297.0
Au,38.0,-132.0,97.5,40.38,-123.71,762.0
Au,70.0,-144.0,97.5,67.95,-147.28,263.0
Au,46.0,-100.0,97.5,44.34,-103.66,341.0
Au,52.0,-130.0,97.5,53.53,-132.22,226.0
Au,56.0,-142.0,97.5,58.61,-137.66,390.0
Au,68.0,-136.0,97.5,64.95,-141.57,419.0
Au,62.0,-168.0,97.5,64.51,-165.45,307.0
Au,70.0,-160.0,97.4,68.07,-162.83,242.0
Au,54.0,-110.0,97.4,55.68,-103.63,448.0
Au,56.0,-144.0,97.4,59.83,-141.22,456.0
Au,26.0,-114.0,97.4,28.06,-113.39,237.0
Au,56.0,-146.0,97.4,60.01,-147.97,461.0
Au,70.0,-142.0,97.3,67.95,-147.28,310.0
Au,56.0,-148.0,97.3,57.17,-153.23,346.0
