family,cell_lat,cell_lon,score_pct,nearest_anchor_lat,nearest_anchor_lon,nearest_km
Au,52.0,-126.0,99.7,49.98,-126.72,230.0
Au,52.0,-128.0,99.2,49.98,-126.72,242.0
Au,-6.0,146.0,99.2,-7.91,146.97,238.0
Au,-4.0,144.0,99.1,-4.68,141.75,261.0
Au,20.0,-104.0,99.1,21.88,-102.3,274.0
Au,-4.0,150.0,98.8,-3.0,152.5,299.0
Au,30.0,130.0,98.3,32.02,130.72,235.0
Au,-6.0,150.0,98.3,-7.91,147.62,338.0
Au,-8.0,150.0,98.2,-7.91,147.62,262.0
Au,12.0,-62.0,98.2,13.97,-61.03,243.0
Au,-36.0,178.0,98.1,-37.33,175.78,247.0
Au,0.0,100.0,98.1,2.0,98.95,251.0
Au,26.0,122.0,98.1,27.95,121.27,229.0
Au,52.0,-130.0,98.1,53.53,-132.22,226.0
Au,34.0,132.0,98.0,32.02,130.72,250.0
Au,-20.0,178.0,98.0,-17.55,177.51,277.0
Au,52.0,-168.0,98.0,53.9,-166.78,227.0
Au,4.0,98.0,98.0,2.0,98.95,246.0
Au,36.0,136.0,97.9,35.63,138.88,263.0
Au,50.0,-130.0,97.9,49.98,-126.72,234.0
Au,32.0,128.0,97.8,32.02,130.72,256.0
Au,6.0,124.0,97.8,7.52,125.9,269.0
Au,16.0,-60.0,97.8,14.03,-60.85,237.0
Au,-42.0,-74.0,97.7,-41.16,-71.0,266.0
Au,42.0,138.0,97.7,43.0,140.87,260.0
Au,-10.0,150.0,97.7,-10.66,152.81,316.0
Au,-6.0,152.0,97.7,-3.0,152.5,338.0
Au,-40.0,174.0,97.7,-41.75,171.54,284.0
Au,18.0,-102.0,97.7,20.88,-101.11,334.0
Au,54.0,162.0,97.6,52.84,158.27,279.0
Au,54.0,-136.0,97.6,55.09,-132.71,244.0
Au,12.0,-60.0,97.6,14.03,-60.85,244.0
Au,-40.0,176.0,97.6,-37.33,175.78,298.0
Au,46.0,-126.0,97.6,45.59,-122.34,287.0
Au,26.0,120.0,97.5,27.95,121.27,251.0
Au,0.0,98.0,97.5,2.0,98.95,246.0
Au,52.0,-170.0,97.5,53.9,-166.78,302.0
Au,10.0,122.0,97.5,10.9,124.43,284.0
Au,30.0,132.0,97.5,32.02,130.72,256.0
Au,-6.0,144.0,97.5,-4.68,141.75,289.0
Au,4.0,100.0,97.5,2.0,98.95,251.0
Au,14.0,120.0,97.4,14.25,122.77,300.0
Au,-4.0,146.0,97.4,-7.91,146.97,448.0
Au,-2.0,150.0,97.4,-3.0,152.5,299.0
Au,36.0,142.0,97.4,37.51,140.29,226.0
Au,8.0,128.0,97.3,8.67,126.08,224.0
Au,-44.0,-72.0,97.3,-41.16,-71.0,326.0
Au,-4.0,148.0,97.3,-7.91,147.62,437.0
Au,38.0,-126.0,97.3,38.07,-122.72,287.0
Au,-40.0,-74.0,97.2,-41.16,-71.0,284.0
Au,36.0,132.0,97.2,35.17,128.6,321.0
Au,46.0,146.0,97.2,44.15,143.27,297.0
Au,20.0,-106.0,97.1,23.73,-105.8,415.0
Au,56.0,-168.0,97.1,53.9,-166.78,246.0
