depth_top_km,depth_bot_km,depth_mid_km,density_gcc,region,region_zh,shell_mass_kg,element,ppm_mass,shell_element_mass_kg
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ce,54.03125,7.884619416108885e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,V,97.5,1.4227884660647611e+17
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Sm,5.728125,8358882238130472.0
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Sr,300.625,4.3869311036996806e+17
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Bi,0.00690625,10078084967958.725
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,F,475.3125,6.93609377206571e+17
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Y,26.812500000000004,3.9126682816780936e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Er,2.84375,4149799692688886.5
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Re,0.00056875,829959938537.7773
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Mn,1047.7653650972654,1.528972796515408e+18
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Au,0.00325,4742628220215.87
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ga,15.4375,2.2527484046025384e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Co,20.3125,2.964142637634919e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Hg,0.06906250000000001,100780849679587.27
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,P,967.6899570240947,1.4121211380313708e+18
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,O,456585.25532038603,6.66281266712902e+20
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,U,2.19375,3201274048645712.5
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ba,345.3125,5.039042483979362e+17
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Os,0.00121875,1778485582580.9514
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,C,162.5,2.3713141101079354e+17
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Pb,11.375,1.6599198770755546e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Mo,0.975,1422788466064761.2
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Nb,16.25,2.371314110107935e+16
