region,element,element_mass_kg
crust,Ag,1949999999999999.5
crust,Al,2.6097885445272654e+21
crust,Ar,9.099999999999997e+16
crust,As,4.679999999999999e+16
crust,Au,103999999999999.98
crust,B,2.599999999999999e+17
crust,Ba,1.1049999999999998e+19
crust,Be,7.279999999999998e+16
crust,Bi,220999999999999.9
crust,Br,6.239999999999998e+16
crust,C,5.2e+18
crust,Ca,1.5764017118402285e+21
crust,Cd,3899999999999999.0
crust,Ce,1.7289999999999997e+18
crust,Cl,3.7699999999999995e+18
crust,Co,6.5e+17
crust,Cr,2.6519999999999995e+18
crust,Cs,7.799999999999998e+16
crust,Cu,1.5599999999999997e+18
crust,Dy,1.352e+17
crust,Er,9.099999999999997e+16
crust,Eu,5.199999999999999e+16
crust,F,1.5209999999999996e+19
crust,Fe,1.9907716075156571e+21
crust,Ga,4.939999999999999e+17
crust,Gd,1.612e+17
crust,Ge,3.899999999999999e+16
crust,H,3.6399999999999996e+19
crust,He,207999999999999.97
crust,Hf,7.799999999999998e+16
crust,Hg,2209999999999999.8
crust,Ho,3.38e+16
crust,I,1.1699999999999998e+16
crust,In,6499999999999999.0
crust,Ir,25999999999999.996
crust,K,5.498748280254776e+20
crust,Kr,2599999999999.999
crust,La,1.0139999999999999e+18
crust,Li,5.199999999999998e+17
crust,Lu,2.08e+16
crust,Mg,8.808143920595531e+20
crust,Mn,3.3528491683112485e+19
crust,Mo,3.119999999999999e+16
crust,N,4.939999999999999e+17
crust,Na,7.337800580832526e+20
crust,Nb,5.199999999999998e+17
crust,Nd,1.0789999999999997e+18
crust,Ne,129999999999999.97
crust,Ni,2.1839999999999995e+18
crust,O,1.4610728170252348e+22
crust,Os,38999999999999.99
crust,P,3.0966078624771027e+19
crust,Pb,3.639999999999999e+17
crust,Pd,390000000000000.0
crust,Pr,2.3919999999999994e+17
crust,Pt,129999999999999.97
crust,Rb,2.34e+18
crust,Re,18200000000000.0
crust,Rh,25999999999999.996
crust,Ru,25999999999999.996
crust,S,9.099999999999999e+18
crust,Sb,5200000000000000.0
crust,Sc,5.7199999999999994e+17
crust,Se,1300000000000000.0
crust,Si,8.748403961384816e+21
crust,Sm,1.8329999999999994e+17
crust,Sn,5.979999999999998e+16
crust,Sr,9.62e+18
crust,Ta,5.199999999999999e+16
crust,Tb,3.119999999999999e+16
crust,Te,25999999999999.996
crust,Th,2.4959999999999994e+17
crust,Ti,1.972421560035056e+20
crust,Tl,2.209999999999999e+16
crust,Tm,1.3519999999999998e+16
crust,U,7.02e+16
crust,V,3.1199999999999995e+18
crust,W,3.2499999999999988e+16
crust,Xe,780000000000.0
crust,Y,8.579999999999997e+17
crust,Yb,8.32e+16
crust,Zn,1.8199999999999997e+18
crust,Zr,4.289999999999999e+18
inner_core,Au,7.732183644165562e+16
inner_core,C,1.943861888486937e+20
inner_core,Co,2.556393446138367e+20
inner_core,Cr,9.366130663785898e+20
inner_core,Fe,8.173582142495025e+22
inner_core,H,9.719309442434685e+19
inner_core,Ir,2.513060790338839e+17
inner_core,Mo,4.882582841436247e+17
inner_core,Ni,5.417968169555938e+21
inner_core,O,8.747378498191215e+20
inner_core,Os,2.7064664874280093e+17
inner_core,Pd,3.037701349342205e+17
inner_core,Pt,5.5784492998280845e+17
inner_core,Re,2.2093108766016252e+16
inner_core,Rh,7.180462560925341e+16
inner_core,Ru,3.921466142376865e+17
inner_core,S,1.84666879406259e+21
inner_core,Si,5.831585665460811e+21
inner_core,W,4.563397074167962e+16
mantle,Ag,3.0318000000000012e+16
mantle,Al,9.217746145547284e+22
mantle,Ar,0.0
mantle,As,1.5487499999999994e+17
mantle,Au,3929500000000000.0
mantle,B,9.500500000000001e+17
mantle,Ba,1.5571099999999998e+19
mantle,Be,2.0147800000000013e+17
mantle,Bi,9862749999999992.0
mantle,Br,1.3927500000000002e+17
mantle,C,4.7882e+20
mantle,Ca,1.0047114828815984e+23
mantle,Cd,1.5744000000000003e+17
mantle,Ce,5.027112500000003e+18
mantle,Cl,6.479950000000002e+19
mantle,Co,4.228675000000002e+20
mantle,Cr,1.0585285500000002e+22
mantle,Cs,6703500000000019.0
mantle,Cu,1.1944499999999987e+20
mantle,Dy,2.583379000000001e+18
mantle,Er,1.6756730000000013e+18
mantle,Eu,5.6915900000000006e+17
mantle,F,8.562749999999998e+19
mantle,Fe,2.5050632839248424e+23
mantle,Ga,1.5639999999999998e+19
mantle,Gd,2.0330240000000003e+18
mantle,Ge,4.39785e+18
mantle,H,0.0
mantle,He,0.0
mantle,Hf,1.0634805000000001e+18
mantle,Hg,3.812499999999998e+16
mantle,Ho,5.671914999999998e+17
mantle,I,2.8635000000000004e+16
mantle,In,3.78685e+16
mantle,Ir,1.2881200000000002e+16
mantle,K,4.181651719745224e+20
mantle,Kr,0.0
mantle,La,1.5997080000000008e+18
mantle,Li,5.933599999999998e+18
mantle,Lu,2.5146125000000003e+17
mantle,Mg,9.1875718560794e+23
mantle,Mn,4.1814790083168866e+21
mantle,Mo,1.704749999999999e+17
mantle,N,7.573000000000005e+18
mantle,Na,1.0035664941916755e+22
mantle,Nb,2.1340430000000013e+18
mantle,Nd,3.9628749999999985e+18
mantle,Ne,0.0
mantle,Ni,7.903476000000002e+21
mantle,O,1.7601949984612682e+24
mantle,Os,1.3674900000000006e+16
mantle,P,3.320489213752289e+20
mantle,Pb,2.4102500000000006e+17
mantle,Pd,1.5340650000000002e+16
mantle,Pr,7.853090000000004e+17
mantle,Pt,2.850785000000001e+16
mantle,Rb,8.009999999999994e+16
mantle,Re,1111180000000000.6
mantle,Rh,3604150000000001.0
mantle,Ru,2.01415e+16
mantle,S,9.992749999999998e+20
mantle,Sb,1.6984250000000006e+16
mantle,Sc,6.477069999999997e+19
mantle,Se,3.012125e+17
mantle,Si,8.382865960386153e+23
mantle,Sm,1.4543009999999995e+18
mantle,Sn,4.645549999999999e+17
mantle,Sr,7.064665000000001e+19
mantle,Ta,9.72395e+16
mantle,Tb,3.681165e+17
mantle,Te,4.837600000000001e+16
mantle,Th,7.106325000000003e+16
mantle,Ti,4.6631253439964926e+21
mantle,Tl,0.0
mantle,Tm,2.6075800000000006e+17
mantle,U,1.1680049999999988e+16
mantle,V,3.2762699999999964e+20
mantle,W,8.447150000000006e+16
mantle,Xe,0.0
mantle,Y,1.6486049999999994e+19
mantle,Yb,1.6955734999999997e+18
mantle,Zn,2.2002250000000002e+20
mantle,Zr,3.806175000000002e+19
outer_core,Au,1.4650083589007716e+18
outer_core,C,3.683013811151305e+21
outer_core,Co,4.84357063875197e+21
outer_core,Cr,1.774590509546021e+22
outer_core,Fe,1.5486396485102543e+24
outer_core,H,1.8415069055756526e+21
outer_core,Ir,4.761468730829006e+18
outer_core,Mo,9.250976185914837e+18
outer_core,Ni,1.0265364898112602e+23
outer_core,O,1.6573562150180887e+22
outer_core,Os,5.127912384955691e+18
outer_core,Pd,5.755499446768172e+18
outer_core,Pt,1.0569426736416123e+19
outer_core,Re,4.1859570990324845e+17
outer_core,Rh,1.3604743700658578e+18
outer_core,Ru,7.429958912141764e+18
outer_core,S,3.4988631205937408e+22
outer_core,Si,1.1049041433453924e+23
outer_core,W,8.646218411643611e+17
