family,cell_lat,cell_lon,score_pct,nearest_anchor_km,country,is_land,on_glacier,nearest_city_km,country_mrds_n,country_province_n,mining_polygons_n,reporting_gap,tier,metal,ef,generation_window,closest_subtype,closest_subtype_km
Au,54.0,-128.0,97.4,226.0,Canada,True,False,624,4524,7,16415,True,高优先级-数据空洞优先核验,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,1582.0
Au,-4.0,104.0,96.4,417.0,Indonesia,True,False,395,236,2,1883,True,高优先级-数据空洞优先核验,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,908.0
Au,58.0,158.0,96.2,398.0,Russia,True,False,2822,2739,5,12232,True,高优先级-数据空洞优先核验,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,3954.0
Au,-4.0,144.0,99.4,231.0,Papua New Guinea,True,False,702,254,0,542,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,2208.0
Au,20.0,-104.0,98.9,285.0,Mexico,True,False,513,4663,1,2190,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,2188.0
Au,18.0,-102.0,98.6,233.0,Mexico,True,False,342,4663,1,2190,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,2491.0
Au,-10.0,148.0,98.3,247.0,Papua New Guinea,True,False,107,254,0,542,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,2822.0
Au,-6.0,150.0,98.3,340.0,Papua New Guinea,True,False,494,254,0,542,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,2899.0
Au,18.0,-96.0,97.8,272.0,Mexico,True,False,367,4663,1,2190,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,2862.0
Au,36.0,136.0,97.8,276.0,Japan,True,False,110,668,0,539,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,2013.0
Au,-42.0,-74.0,97.7,266.0,Chile,True,False,996,5575,4,1089,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,9406.0
Au,-40.0,176.0,97.6,298.0,New Zealand,True,False,177,168,0,791,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,6297.0
Au,-44.0,-72.0,97.4,326.0,Chile,True,False,1180,5575,4,1089,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,9633.0
Au,-10.0,150.0,97.3,363.0,Papua New Guinea,True,False,313,254,0,542,False,高优先级-标准复查,Au,3.31,造山/卡林型金：绿岩带或沉积岩热液交代，0-5 km,Au_sed,3022.0
