family,cell_lat,cell_lon,score_pct,nearest_anchor_km,country,is_land,on_glacier,nearest_city_km,country_mrds_n,country_province_n,reporting_gap,tier
Li,50.0,-122.0,99.6,235.0,Canada,True,False,114,2915,7,True,高优先级-数据空洞优先核验
Li,50.0,-124.0,99.6,353.0,Canada,True,False,102,2915,7,True,高优先级-数据空洞优先核验
OilGas,48.0,122.0,99.5,268.0,China,True,False,1005,1064,6,True,高优先级-数据空洞优先核验
OilGas,24.0,48.0,99.5,225.0,Saudi Arabia,True,False,148,87,2,True,高优先级-数据空洞优先核验
Li,50.0,-126.0,99.4,486.0,Canada,True,False,222,2915,7,True,高优先级-数据空洞优先核验
NiCo,50.0,-126.0,99.3,297.0,Canada,True,False,222,2915,7,True,高优先级-数据空洞优先核验
REE,50.0,-124.0,99.3,289.0,Canada,True,False,102,2915,7,True,高优先级-数据空洞优先核验
OilGas,46.0,122.0,99.3,233.0,China,True,False,817,1064,6,True,高优先级-数据空洞优先核验
REE,52.0,96.0,99.2,230.0,Russia,True,False,902,1706,5,True,高优先级-数据空洞优先核验
Li,50.0,-128.0,99.1,608.0,Canada,True,False,360,2915,7,True,高优先级-数据空洞优先核验
OilGas,56.0,118.0,99.1,1149.0,Russia,True,False,1174,1706,5,True,高优先级-数据空洞优先核验
OilGas,46.0,128.0,99.1,247.0,China,True,False,797,1064,6,True,高优先级-数据空洞优先核验
REE,18.0,42.0,99.0,232.0,Saudi Arabia,True,False,376,87,2,True,高优先级-数据空洞优先核验
OilGas,28.0,46.0,99.0,257.0,Saudi Arabia,True,False,246,87,2,True,高优先级-数据空洞优先核验
Li,52.0,-122.0,98.9,422.0,Canada,True,False,313,2915,7,True,高优先级-数据空洞优先核验
Li,52.0,-124.0,98.9,494.0,Canada,True,False,309,2915,7,True,高优先级-数据空洞优先核验
REE,52.0,-124.0,98.9,286.0,Canada,True,False,309,2915,7,True,高优先级-数据空洞优先核验
REE,56.0,116.0,98.9,304.0,Russia,True,False,1091,1706,5,True,高优先级-数据空洞优先核验
OilGas,48.0,128.0,98.9,281.0,China,True,False,1015,1064,6,True,高优先级-数据空洞优先核验
OilGas,44.0,52.0,98.9,259.0,Kazakhstan,True,False,438,454,2,True,高优先级-数据空洞优先核验
OilGas,56.0,120.0,98.9,1099.0,Russia,True,False,1265,1706,5,True,高优先级-数据空洞优先核验
OilGas,62.0,72.0,98.9,268.0,Russia,True,False,1204,1706,5,True,高优先级-数据空洞优先核验
Li,52.0,98.0,98.8,240.0,Russia,True,False,782,1706,5,True,高优先级-数据空洞优先核验
OilGas,48.0,54.0,98.8,267.0,Kazakhstan,True,False,907,454,2,True,高优先级-数据空洞优先核验
OilGas,50.0,124.0,98.8,384.0,China,True,False,1229,1064,6,True,高优先级-数据空洞优先核验
OilGas,56.0,116.0,98.8,1212.0,Russia,True,False,1091,1706,5,True,高优先级-数据空洞优先核验
Li,52.0,-126.0,98.7,592.0,Canada,True,False,365,2915,7,True,高优先级-数据空洞优先核验
Li,-34.0,-70.0,98.7,297.0,Chile,True,False,87,4192,4,True,高优先级-数据空洞优先核验
REE,58.0,116.0,98.7,304.0,Russia,True,False,1273,1706,5,True,高优先级-数据空洞优先核验
REE,50.0,-126.0,98.7,427.0,Canada,True,False,222,2915,7,True,高优先级-数据空洞优先核验
REE,54.0,104.0,98.7,235.0,Russia,True,False,706,1706,5,True,高优先级-数据空洞优先核验
REE,54.0,96.0,98.7,297.0,Russia,True,False,1019,1706,5,True,高优先级-数据空洞优先核验
NiCo,50.0,-128.0,98.6,434.0,Canada,True,False,360,2915,7,True,高优先级-数据空洞优先核验
Li,52.0,96.0,98.6,252.0,Russia,True,False,902,1706,5,True,高优先级-数据空洞优先核验
Li,52.0,100.0,98.6,302.0,Russia,True,False,671,1706,5,True,高优先级-数据空洞优先核验
Li,52.0,-120.0,98.6,390.0,Canada,True,False,375,2915,7,True,高优先级-数据空洞优先核验
REE,58.0,120.0,98.6,309.0,Russia,True,False,1418,1706,5,True,高优先级-数据空洞优先核验
Cu,56.0,158.0,98.5,235.0,Russia,True,False,2646,1706,5,True,高优先级-数据空洞优先核验
NiCo,56.0,120.0,98.5,270.0,Russia,True,False,1265,1706,5,True,高优先级-数据空洞优先核验
Li,54.0,116.0,98.5,260.0,Russia,True,False,927,1706,5,True,高优先级-数据空洞优先核验
REE,52.0,94.0,98.4,283.0,Russia,True,False,1027,1706,5,True,高优先级-数据空洞优先核验
