reservoir,reservoir_zh,reservoir_mass_kg,element,ppm_mass,element_mass_kg,confidence,ref
continental_crust,大陆地壳,2.6e+22,O,461000.0,1.1986e+22,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Si,282000.0,7.331999999999999e+21,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Al,82300.0,2.1398e+21,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Fe,56300.0,1.4638e+21,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ca,41500.0,1.0789999999999999e+21,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Na,23600.0,6.136e+20,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Mg,23300.0,6.058e+20,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,K,20900.0,5.4339999999999993e+20,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ti,5650.0,1.4689999999999998e+20,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,H,1400.0,3.64e+19,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,P,1050.0,2.73e+19,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Mn,950.0,2.47e+19,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,F,585.0,1.521e+19,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ba,425.0,1.105e+19,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Sr,370.0,9.62e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,S,350.0,9.1e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,C,200.0,5.2e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Zr,165.0,4.29e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Cl,145.0,3.77e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,V,120.0,3.1199999999999995e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Cr,102.0,2.652e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Rb,90.0,2.34e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ni,84.0,2.184e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Zn,70.0,1.8199999999999997e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ce,66.5,1.729e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Cu,60.0,1.5599999999999997e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Nd,41.5,1.079e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,La,39.0,1.014e+18,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Y,33.0,8.579999999999999e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Co,25.0,6.5e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Sc,22.0,5.72e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Li,20.0,5.1999999999999994e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Nb,20.0,5.1999999999999994e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,N,19.0,4.9399999999999994e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ga,19.0,4.9399999999999994e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Pb,14.0,3.64e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,B,10.0,2.5999999999999997e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Th,9.6,2.496e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Pr,9.2,2.3919999999999997e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Sm,7.05,1.833e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Gd,6.2,1.612e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Dy,5.2,1.352e+17,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Er,3.5,9.1e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ar,3.5,9.1e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Yb,3.2,8.32e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Hf,3.0,7.8e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Cs,3.0,7.8e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Be,2.8,7.28e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,U,2.7,7.02e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Br,2.4,6.24e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Sn,2.3,5.979999999999999e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ta,2.0,5.2e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Eu,2.0,5.2e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,As,1.8,4.68e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ge,1.5,3.9e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ho,1.3,3.38e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,W,1.25,3.2499999999999996e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Mo,1.2,3.12e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Tb,1.2,3.12e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Tl,0.85,2.2099999999999996e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Lu,0.8,2.08e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Tm,0.52,1.352e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,I,0.45,1.17e+16,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,In,0.25,6500000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Sb,0.2,5200000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Cd,0.15,3900000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Hg,0.085,2210000000000000.2,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ag,0.075,1950000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Se,0.05,1300000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Pd,0.015,389999999999999.94,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Bi,0.0085,221000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,He,0.008,208000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ne,0.005,130000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Pt,0.005,130000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Au,0.004,104000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Os,0.0015,39000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Te,0.001,26000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ru,0.001,26000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Ir,0.001,26000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Rh,0.001,26000000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Re,0.0007,18200000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Kr,0.0001,2600000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
continental_crust,大陆地壳,2.6e+22,Xe,3e-05,780000000000.0,high,"CRC Handbook 97th (2016), via Wikipedia rev 1368008262"
oceanic_crust,洋壳,6e+21,Si,236067.32689747005,1.4164039613848203e+21,high(major),"Gale et al. (2013), Geochem. Geophys. Geosyst., MORB 玻璃平均"
oceanic_crust,洋壳,6e+21,Ti,8390.359333917615,5.0342156003505684e+19,high(major),"Gale et al. (2013), Geochem. Geophys. Geosyst., MORB 玻璃平均"
oceanic_crust,洋壳,6e+21,Al,78331.42408787762,4.699885445272657e+20,high(major),"Gale et al. (2013), Geochem. Geophys. Geosyst., MORB 玻璃平均"
oceanic_crust,洋壳,6e+21,Fe,87828.6012526096,5.2697160751565754e+20,high(major),"Gale et al. (2013), Geochem. Geophys. Geosyst., MORB 玻璃平均"
