family,cell_lat,cell_lon,score_pct,closest_subtype,closest_subtype_km
Au,-4.0,144.0,99.4,Au_sed,2208.0
Au,20.0,-104.0,98.9,Au_sed,2188.0
Au,18.0,-102.0,98.6,Au_sed,2491.0
Au,22.0,-106.0,98.6,Au_sed,1891.0
Au,-10.0,148.0,98.3,Au_sed,2822.0
Au,-6.0,150.0,98.3,Au_sed,2899.0
Au,12.0,-62.0,98.3,Au_sed,6292.0
Au,-36.0,178.0,98.2,Au_sed,6301.0
Au,-8.0,150.0,98.1,Au_sed,2954.0
Au,-4.0,148.0,98.1,Au_sed,2640.0
Au,18.0,-64.0,98.0,Au_sed,5660.0
Au,46.0,-126.0,98.0,Au_sed,859.0
Au,6.0,124.0,98.0,Au_sed,572.0
Au,52.0,-172.0,97.9,Au_sed,3922.0
Au,24.0,124.0,97.9,Au_sed,1134.0
Au,18.0,-96.0,97.8,Au_sed,2862.0
Au,46.0,142.0,97.8,Au_sed,2750.0
Au,-40.0,174.0,97.8,Au_sed,6180.0
Au,10.0,126.0,97.8,Au_sed,1022.0
Au,52.0,-130.0,97.8,Au_sed,1481.0
Au,36.0,136.0,97.8,Au_sed,2013.0
Au,56.0,-166.0,97.7,Au_sed,3442.0
Au,54.0,-136.0,97.7,Au_sed,1874.0
Au,-42.0,-74.0,97.7,Au_sed,9406.0
Au,12.0,124.0,97.7,Au_sed,1236.0
Au,20.0,122.0,97.7,Au_sed,1328.0
Au,-18.0,176.0,97.7,Au_sed,5811.0
Au,12.0,-60.0,97.7,Au_sed,6481.0
Au,22.0,122.0,97.6,Au_sed,1144.0
Au,54.0,-172.0,97.6,Au_sed,3840.0
Au,42.0,138.0,97.6,Au_sed,2332.0
Au,26.0,120.0,97.6,Au_sed,671.0
Au,-40.0,176.0,97.6,Au_sed,6297.0
Au,38.0,-126.0,97.5,Au_sed,808.0
Au,38.0,142.0,97.5,Au_sed,2536.0
Au,16.0,-64.0,97.5,Au_sed,5809.0
Au,-6.0,104.0,97.4,Au_sed,1067.0
Au,-44.0,-72.0,97.4,Au_sed,9633.0
Au,54.0,-128.0,97.4,Au_sed,1582.0
Au,8.0,128.0,97.4,Au_sed,870.0
Au,46.0,144.0,97.3,Au_sed,2869.0
Au,-2.0,146.0,97.3,Au_sed,2388.0
Au,30.0,130.0,97.3,Au_sed,1453.0
Au,-40.0,-74.0,97.3,Au_sed,9235.0
Au,10.0,-62.0,97.3,Au_sed,6434.0
Au,-10.0,150.0,97.3,Au_sed,3022.0
Au,34.0,140.0,97.2,Au_sed,2356.0
Au,46.0,146.0,97.2,Au_sed,2991.0
Au,-20.0,176.0,97.2,Au_sed,5835.0
Au,56.0,-168.0,97.2,Au_sed,3552.0
Au,12.0,-90.0,97.2,Au_sed,3829.0
Au,12.0,122.0,97.2,Au_sed,1267.0
Au,18.0,-104.0,97.1,Au_sed,2391.0
Au,2.0,-74.0,97.1,Au_sed,5916.0
Au,18.0,124.0,97.1,Au_sed,1636.0
Au,34.0,138.0,97.1,Au_sed,2175.0
Au,44.0,12.0,97.1,Au_sed,2920.0
Au,38.0,136.0,97.1,Au_sed,2054.0
Au,40.0,24.0,97.1,Au_sed,2001.0
Au,16.0,124.0,97.0,Au_sed,1679.0
Au,44.0,148.0,97.0,Au_sed,3072.0
Au,16.0,-92.0,97.0,Au_sed,3329.0
Au,48.0,-128.0,97.0,Au_sed,1098.0
Au,-20.0,180.0,97.0,Au_sed,6220.0
Au,60.0,158.0,97.0,Au_sed,4001.0
Au,42.0,146.0,97.0,Au_sed,2896.0
Au,20.0,-106.0,97.0,Au_sed,2098.0
Au,14.0,-92.0,96.9,Au_sed,3506.0
Au,26.0,124.0,96.9,Au_sed,1008.0
Au,-10.0,146.0,96.9,Au_sed,2627.0
Au,22.0,-98.0,96.9,Au_sed,2364.0
Au,-38.0,-74.0,96.9,Au_sed,9066.0
Au,42.0,12.0,96.8,Au_sed,2957.0
Au,46.0,140.0,96.8,Au_sed,2634.0
Au,-40.0,-68.0,96.8,Au_sed,9434.0
Au,36.0,142.0,96.8,Au_sed,2527.0
Au,-2.0,148.0,96.8,Au_sed,2608.0
Au,-6.0,110.0,96.8,Au_sed,823.0
Au,-4.0,106.0,96.7,Au_sed,757.0
Au,20.0,120.0,96.7,Au_sed,1165.0
Au,6.0,-82.0,96.7,Au_sed,4952.0
Au,-8.0,110.0,96.7,Au_sed,1045.0
Au,-2.0,144.0,96.7,Au_sed,2169.0
Au,-44.0,-70.0,96.7,Au_sed,9690.0
Au,22.0,-108.0,96.7,Au_sed,1812.0
Au,52.0,-164.0,96.7,Au_sed,3407.0
Au,52.0,-174.0,96.7,Au_sed,4052.0
Au,34.0,136.0,96.6,Au_sed,1996.0
Au,22.0,120.0,96.6,Au_sed,1025.0
Au,8.0,-86.0,96.6,Au_sed,4476.0
Au,4.0,126.0,96.6,Au_sed,376.0
Au,-4.0,150.0,96.6,Au_sed,2857.0
Au,0.0,-82.0,96.6,Au_sed,5454.0
Au,38.0,22.0,96.6,Au_sed,2204.0
Au,-44.0,-74.0,96.6,Au_sed,9579.0
Au,16.0,118.0,96.6,Au_sed,1194.0
Au,58.0,156.0,96.5,Au_sed,3870.0
Au,6.0,128.0,96.5,Au_sed,676.0
Au,42.0,10.0,96.5,Au_sed,3119.0
Au,12.0,120.0,96.5,Au_sed,1334.0
Au,30.0,132.0,96.5,Au_sed,1646.0
Au,-18.0,-74.0,96.4,Au_sed,7451.0
Au,10.0,-60.0,96.4,Au_sed,6625.0
Au,60.0,160.0,96.4,Au_sed,4077.0
Au,6.0,-84.0,96.4,Au_sed,4798.0
Au,56.0,-170.0,96.4,Au_sed,3662.0
Au,-4.0,104.0,96.4,Au_sed,908.0
Au,40.0,144.0,96.3,Au_sed,2717.0
Au,-16.0,178.0,96.3,Au_sed,5991.0
Au,46.0,148.0,96.3,Au_sed,3116.0
Au,38.0,24.0,96.3,Au_sed,2029.0
Au,32.0,134.0,96.3,Au_sed,1815.0
Au,34.0,126.0,96.3,Au_sed,1119.0
Au,52.0,-132.0,96.3,Au_sed,1565.0
Au,-38.0,172.0,96.3,Au_sed,5981.0
Au,12.0,-82.0,96.3,Au_sed,4463.0
Au,54.0,-174.0,96.3,Au_sed,3961.0
Au,30.0,128.0,96.3,Au_sed,1261.0
Au,-40.0,178.0,96.2,Au_sed,6416.0
Au,58.0,158.0,96.2,Au_sed,3954.0
Cu,-4.0,148.0,99.1,Cu_porphyry,239.0
Cu,18.0,-104.0,98.7,Cu_porphyry,169.0
Cu,40.0,14.0,98.7,Cu_porphyry,382.0
Cu,-10.0,148.0,98.6,Cu_porphyry,90.0
Cu,44.0,146.0,98.5,Cu_VMS,29.0
Cu,-8.0,150.0,98.5,Cu_porphyry,230.0
Cu,12.0,-62.0,98.5,Cu_VMS,617.0
Cu,20.0,-98.0,98.5,Cu_porphyry,37.0
Cu,52.0,158.0,98.5,Cu_porphyry,217.0
Cu,18.0,-64.0,98.4,Cu_porphyry,257.0
Cu,12.0,-86.0,98.4,Cu_porphyry,384.0
Cu,52.0,-180.0,98.4,Cu_porphyry,1381.0
Cu,20.0,122.0,98.3,Cu_VMS,225.0
Cu,52.0,-170.0,98.3,Cu_porphyry,754.0
Cu,38.0,24.0,98.3,Cu_porphyry,227.0
Cu,40.0,12.0,98.3,Cu_porphyry,212.0
Cu,32.0,130.0,98.2,Cu_VMS,130.0
Cu,-44.0,-74.0,98.2,Cu_porphyry,270.0
Cu,4.0,126.0,98.2,Cu_porphyry,294.0
Cu,52.0,156.0,98.1,Cu_porphyry,233.0
Cu,-2.0,148.0,98.1,Cu_porphyry,117.0
Cu,34.0,140.0,98.1,Cu_VMS,206.0
Cu,56.0,162.0,98.1,Cu_porphyry,330.0
Cu,38.0,22.0,98.0,Cu_porphyry,312.0
Cu,-2.0,144.0,98.0,Cu_porphyry,320.0
Cu,24.0,124.0,98.0,Cu_porphyry,266.0
Cu,40.0,16.0,98.0,Cu_porphyry,538.0
